occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0644,0.0644,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.0773,0,0
1.0,0.0644,0.0644,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.232,0,0
1.0,0.0644,0.0644,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.0773,0,0
1.0,0.0644,0.0644,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.0,0,0
1.0,0.0545,0.0545,0.0,0.0,0.0,0.0,0.31,0.496,0.496,0.0,0.0,0.0,0,0
1.0,0.0545,0.0545,0.0,0.0,0.0,0.0,0.31,0.496,0.496,0.0,0.0,0.0,0,0
1.0,0.0545,0.0545,0.0,0.0,0.0,0.0,0.31,0.496,0.496,0.0,0.0,0.0,0,0
1.0,0.0545,0.0545,0.0,0.0,0.0,0.0,0.31,0.496,0.496,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.31,0.492,0.492,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.31,0.492,0.492,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.31,0.492,0.492,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.31,0.492,0.492,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.307,0.488,0.488,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.307,0.488,0.488,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.307,0.488,0.488,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.307,0.488,0.488,0.0,0.0,0.0773,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0699,0.0699,0.4,0.0,0.0,0.0,0.307,0.496,0.496,0.0,0.0,0.0,0,0
1.0,0.0699,0.0699,0.6,0.0,0.0,0.0,0.307,0.496,0.496,0.0,0.0,0.153,0,0
1.0,0.111,0.111,0.0,0.0,0.0,0.0,0.326,0.511,0.511,0.0,0.0,0.28,0,0
1.0,0.111,0.111,0.0,0.0,0.0,0.0,0.326,0.511,0.511,0.0,0.0,0.0773,0,0
1.0,0.172,0.172,0.0,0.0,0.0,0.0,0.395,0.556,0.556,0.0,0.0,0.309,0,0
